id_penerbit;nama_penerbit;tempat_penerbit
PE103;Penerbit Andi;Informasi tidak tersedia
PE103;Penerbit Andi;Informasi tidak tersedia
PE103;Penerbit Andi;Informasi tidak tersedia
PE103;Penerbit Andi;Informasi tidak tersedia
PE104;Penerbit BRIN;Informasi tidak tersedia
PE105;Penerbit Buku Kompas;Informasi tidak tersedia
PE105;Penerbit Buku Kompas;Informasi tidak tersedia
PE106;Penerbit CV. SARNU UNTUNG;Informasi tidak tersedia
PE106;Penerbit CV. SARNU UNTUNG;Informasi tidak tersedia
PE107;Penerbit Duta;Informasi tidak tersedia
PE108;Penerbit Insania;Informasi tidak tersedia
PE109;Penerbit K-Media;Informasi tidak tersedia
PE109;Penerbit K-Media;Informasi tidak tersedia
PE109;Penerbit K-Media;Informasi tidak tersedia
PE109;Penerbit Narasi;Informasi tidak tersedia
PE110;Penerbit NEM;Informasi tidak tersedia
PE110;Penerbit NEM;Informasi tidak tersedia
PE110;Penerbit NEM;Informasi tidak tersedia
PE110;Penerbit NEM;Informasi tidak tersedia
PE110;Penerbit NEM;Informasi tidak tersedia
PE111;Penerbit Peneleh;Informasi tidak tersedia
PE112;Penerbit Pustaka Rumah Cinta;Informasi tidak tersedia
PE113;Penerbit tidak tersedia;Informasi tidak tersedia
PE114;Penerbit tidak tersedia;Informasi tidak tersedia
PE115;Penerbit tidak tersedia;Informasi tidak tersedia
PE116;Penerbit tidak tersedia;Informasi tidak tersedia
PE117;Penerbit tidak tersedia;Informasi tidak tersedia
PE118;Penerbit tidak tersedia;Informasi tidak tersedia
PE119;Penerbit tidak tersedia;Informasi tidak tersedia
PE120;Penerbit tidak tersedia;Informasi tidak tersedia
PE121;Penerbit tidak tersedia;Informasi tidak tersedia
PE122;Penerbit tidak tersedia;Informasi tidak tersedia
PE123;Penerbit tidak tersedia;Informasi tidak tersedia
PE124;Penerbit tidak tersedia;Informasi tidak tersedia
PE125;Penerbit tidak tersedia;Informasi tidak tersedia
PE126;Penerbit tidak tersedia;Informasi tidak tersedia
PE127;Penerbit tidak tersedia;Informasi tidak tersedia
PE128;Penerbit tidak tersedia;Informasi tidak tersedia
PE129;Penerbit tidak tersedia;Informasi tidak tersedia
PE130;Penerbit tidak tersedia;Informasi tidak tersedia
PE131;Penerbit tidak tersedia;Informasi tidak tersedia
PE132;Penerbit tidak tersedia;Informasi tidak tersedia
PE133;Penerbit tidak tersedia;Informasi tidak tersedia
PE134;Penerbit tidak tersedia;Informasi tidak tersedia
PE135;Penerbit tidak tersedia;Informasi tidak tersedia
PE136;Penerbit tidak tersedia;Informasi tidak tersedia
PE137;Penerbit tidak tersedia;Informasi tidak tersedia
PE138;Penerbit tidak tersedia;Informasi tidak tersedia
PE139;Penerbit tidak tersedia;Informasi tidak tersedia
PE140;Penerbit tidak tersedia;Informasi tidak tersedia
PE141;Penerbit tidak tersedia;Informasi tidak tersedia
PE142;Penerbit tidak tersedia;Informasi tidak tersedia
PE143;Penerbit tidak tersedia;Informasi tidak tersedia
PE144;Penerbit tidak tersedia;Informasi tidak tersedia
PE145;Penerbit tidak tersedia;Informasi tidak tersedia
PE146;Penerbit tidak tersedia;Informasi tidak tersedia
PE147;Penerbit tidak tersedia;Informasi tidak tersedia
PE148;Penerbit tidak tersedia;Informasi tidak tersedia
PE149;Penerbit tidak tersedia;Informasi tidak tersedia
PE150;Penerbit tidak tersedia;Informasi tidak tersedia
PE151;Penerbit tidak tersedia;Informasi tidak tersedia
PE152;Penerbit tidak tersedia;Informasi tidak tersedia
PE153;Penerbit tidak tersedia;Informasi tidak tersedia
PE154;Penerbit tidak tersedia;Informasi tidak tersedia
PE155;Penerbit tidak tersedia;Informasi tidak tersedia
PE156;Penerbit tidak tersedia;Informasi tidak tersedia
PE157;Penerbit tidak tersedia;Informasi tidak tersedia
PE158;Penerbit tidak tersedia;Informasi tidak tersedia
PE159;Penerbit tidak tersedia;Informasi tidak tersedia
PE160;Penerbit tidak tersedia;Informasi tidak tersedia
PE161;Penerbit tidak tersedia;Informasi tidak tersedia
PE162;Penerbit tidak tersedia;Informasi tidak tersedia
PE163;Penerbit tidak tersedia;Informasi tidak tersedia
PE164;Penerbit tidak tersedia;Informasi tidak tersedia
PE165;Penerbit tidak tersedia;Informasi tidak tersedia
PE166;Penerbit tidak tersedia;Informasi tidak tersedia
PE167;Penerbit tidak tersedia;Informasi tidak tersedia
PE168;Penerbit tidak tersedia;Informasi tidak tersedia
PE169;Penerbit tidak tersedia;Informasi tidak tersedia
PE170;Penerbit tidak tersedia;Informasi tidak tersedia
PE171;Penerbit tidak tersedia;Informasi tidak tersedia
PE172;Penerbit tidak tersedia;Informasi tidak tersedia
PE173;Penerbit tidak tersedia;Informasi tidak tersedia
PE174;Penerbit tidak tersedia;Informasi tidak tersedia
PE175;Penerbit tidak tersedia;Informasi tidak tersedia
PE176;Penerbit tidak tersedia;Informasi tidak tersedia
PE177;Penerbit tidak tersedia;Informasi tidak tersedia
PE178;Penerbit tidak tersedia;Informasi tidak tersedia
PE179;Penerbit tidak tersedia;Informasi tidak tersedia
PE180;Penerbit tidak tersedia;Informasi tidak tersedia
PE181;Penerbit tidak tersedia;Informasi tidak tersedia
PE182;Penerbit tidak tersedia;Informasi tidak tersedia
PE183;Penerbit tidak tersedia;Informasi tidak tersedia
PE184;Penerbit tidak tersedia;Informasi tidak tersedia
PE185;Penerbit tidak tersedia;Informasi tidak tersedia
PE186;Penerbit tidak tersedia;Informasi tidak tersedia
PE187;Penerbit tidak tersedia;Informasi tidak tersedia
PE188;Penerbit tidak tersedia;Informasi tidak tersedia
